Player,Nationality,Position,Age,Matches_Played,Games_Started,Minutes_Played,Ninety_Minutes_Played,Goals,Assists,Goals_Plus_Assists,Non_Penalty_Goals,Penalty_Kicks_Made,Penalty_Kicks_Attempted,Yellow_Cards,Red_Cards,Goals_Per_90,Assists_Per_90,Goals_Plus_Assists_Per_90,Non_Penalty_Goals_Per_90,Non_Penalty_Goals_Plus_Assists_Per_90,Matches,Season,Team,MP
Carlos Martín,es ESP,"MF,FW",24-003,,5,310,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Rayo Vallecano,7
Sergio Camello,es ESP,FW,25-074,,4,499,5.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.18,0.0,0.18,0.18,0.18,Matches,2025-2026,Rayo Vallecano,17
Iván Balliu,al ALB,DF,34-114,,3,333,3.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Rayo Vallecano,11
Jozhua Vertrouwd,nl NED,DF,21-247,,2,356,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Rayo Vallecano,8
Dani Cárdenas,es ESP,GK,29-028,,2,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Rayo Vallecano,2
Randy Nteka,ao ANG,FW,28-140,,1,204,2.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.44,0.0,0.44,0.44,0.44,Matches,2025-2026,Rayo Vallecano,10
Óscar Trejo,ar ARG,"FW,MF",37-364,,0,79,0.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Rayo Vallecano,6
Pelayo Fernandez,es ESP,DF,22-361,,0,45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Rayo Vallecano,1
Samu Becerra,es ESP,MF,20-114,,0,12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Rayo Vallecano,3
Abdul Mumin,gh GHA,DF,27-323,,0,10,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Rayo Vallecano,1
Juanpe,es ESP,GK,24-355,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Rayo Vallecano,0
Marco de las Sías,es ESP,DF,20-117,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Rayo Vallecano,0
Adrián Molina,es ESP,GK,20-277,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Rayo Vallecano,0
Pablo Fornals,es ESP,MF,30-062,33.0,30,"2,557",28.4,7.0,4.0,11.0,7.0,0.0,0.0,2.0,0.0,0.25,0.14,0.39,0.25,0.39,Matches,2025-2026,Real Betis,33
Natan,br BRA,DF,25-078,29.0,29,"2,524",28.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Betis,29
Cucho,co COL,FW,27-005,28.0,26,"2,243",24.9,8.0,3.0,11.0,7.0,1.0,1.0,4.0,0.0,0.32,0.12,0.44,0.28,0.4,Matches,2025-2026,Real Betis,28
Antony,br BRA,"MF,FW",26-060,27.0,25,"2,064",22.9,7.0,5.0,12.0,7.0,0.0,0.0,5.0,1.0,0.31,0.22,0.52,0.31,0.52,Matches,2025-2026,Real Betis,27
Álvaro Vallés,es ESP,GK,28-274,24.0,24,"2,160",24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Betis,24
Marc Bartra,es ESP,DF,35-100,25.0,21,"1,978",22.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,2025-2026,Real Betis,25
Abde Ezzalzouli,ma MAR,"MF,FW",24-129,24.0,21,"1,828",20.3,7.0,7.0,14.0,7.0,0.0,0.0,3.0,0.0,0.34,0.34,0.69,0.34,0.69,Matches,2025-2026,Real Betis,24
Marc Roca,es ESP,MF,29-150,25.0,21,"1,806",20.1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.05,0.05,0.1,0.05,0.1,Matches,2025-2026,Real Betis,25
Aitor Ruibal,es ESP,"DF,MF",30-034,26.0,19,"1,719",19.1,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,0.21,0.1,0.31,0.21,0.31,Matches,2025-2026,Real Betis,26
Valentín Gómez,ar ARG,DF,22-303,24.0,16,"1,600",17.8,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,2025-2026,Real Betis,24
Héctor Bellerín,es ESP,DF,31-037,22.0,16,"1,440",16.0,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,0.12,0.19,0.31,0.12,0.31,Matches,2025-2026,Real Betis,22
Ricardo Rodríguez,ch SUI,DF,33-243,20.0,15,"1,299",14.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,2025-2026,Real Betis,20
Giovani Lo Celso,ar ARG,MF,30-016,20.0,12,"1,179",13.1,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,0.15,0.23,0.38,0.15,0.38,Matches,2025-2026,Real Betis,20
Sergi Altimira,es ESP,MF,24-243,22.0,12,"1,110",12.3,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.08,0.08,0.16,0.08,0.16,Matches,2025-2026,Real Betis,22
Sofyan Amrabat,ma MAR,MF,29-247,13.0,11,"1,035",11.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Betis,13
Diego Llorente,es ESP,DF,32-252,14.0,10,869,9.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,2025-2026,Real Betis,14
Pau López,es ESP,GK,31-133,9.0,9,810,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Betis,9
Junior Firpo,do DOM,DF,29-246,10.0,8,672,7.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches,2025-2026,Real Betis,10
Rodrigo Riquelme,es ESP,MF,26-023,21.0,7,741,8.2,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.12,0.12,0.24,0.12,0.24,Matches,2025-2026,Real Betis,21
Nelson Deossa,co COL,MF,26-078,17.0,7,619,6.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Betis,17
Ángel Ortíz,es ESP,DF,21-274,13.0,7,584,6.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Betis,13
Álvaro Fidalgo,mx MEX,MF,29-016,7.0,7,486,5.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19,Matches,2025-2026,Real Betis,7
Cédric Bakambu,cd COD,FW,35-014,17.0,5,524,5.8,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.52,0.17,0.69,0.52,0.69,Matches,2025-2026,Real Betis,17
Ezequiel Ávila,ar ARG,FW,32-078,13.0,3,353,3.9,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.25,0.0,0.25,0.0,0.0,Matches,2025-2026,Real Betis,13
Pablo Garcia,es ESP,MF,19-316,15.0,2,388,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Betis,15
Isco,es ESP,"FW,MF",34-004,3.0,0,65,0.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,1.38,0.0,1.38,Matches,2025-2026,Real Betis,3
Iván Corralejo,es ESP,MF,18-359,1.0,0,15,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Betis,1
Daniel Guerrero,es ESP,MF,20-273,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Betis,1
Adrián,es ESP,GK,39-112,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Betis,0
Darling Bladi,fr FRA,FW,21-318,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Betis,0
Germán García,es ESP,GK,22-083,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Betis,0
Manu González,es ESP,GK,19-007,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Betis,0
Iker Losada,es ESP,MF,24-267,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Betis,0
Rodrigo Marina,es ESP,FW,19-271,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Betis,0
Mawuli Mensah,gh GHA,MF,22-161,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Betis,0
Federico Valverde,uy URU,"MF,DF",27-277,,29,"2,560",28.4,5.0,8.0,13.0,5.0,0.0,0.0,3.0,1.0,0.18,0.28,0.46,0.18,0.46,Matches,2025-2026,Real Madrid,31
Thibaut Courtois,be BEL,GK,33-349,,28,"2,520",28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Madrid,28
Vinicius Júnior,br BRA,"FW,MF",25-287,,28,"2,476",27.5,13.0,5.0,18.0,9.0,4.0,5.0,7.0,0.0,0.47,0.18,0.65,0.33,0.51,Matches,2025-2026,Real Madrid,32
Kylian Mbappé,fr FRA,FW,27-126,,27,"2,397",26.6,24.0,4.0,28.0,16.0,8.0,9.0,4.0,0.0,0.9,0.15,1.05,0.6,0.75,Matches,2025-2026,Real Madrid,28
Aurélien Tchouaméni,fr FRA,MF,26-088,,27,"2,310",25.7,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,2025-2026,Real Madrid,29
Arda Güler,tr TUR,MF,21-059,,25,"1,997",22.2,4.0,9.0,13.0,4.0,0.0,0.0,1.0,0.0,0.18,0.41,0.59,0.18,0.59,Matches,2025-2026,Real Madrid,32
Álvaro Carreras,es ESP,DF,23-033,,24,"2,152",23.9,2.0,2.0,4.0,2.0,0.0,0.0,5.0,1.0,0.08,0.08,0.17,0.08,0.17,Matches,2025-2026,Real Madrid,26
Dean Huijsen,es ESP,DF,21-011,,22,"1,833",20.4,2.0,2.0,4.0,2.0,0.0,0.0,7.0,1.0,0.1,0.1,0.2,0.1,0.2,Matches,2025-2026,Real Madrid,25
Jude Bellingham,eng ENG,MF,22-300,,18,"1,550",17.2,4.0,3.0,7.0,4.0,0.0,0.0,1.0,0.0,0.23,0.17,0.41,0.23,0.41,Matches,2025-2026,Real Madrid,23
Raúl Asencio,es ESP,DF,23-071,,15,"1,438",16.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches,2025-2026,Real Madrid,20
Eduardo Camavinga,fr FRA,MF,23-166,,14,"1,341",14.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,2025-2026,Real Madrid,25
Éder Militão,br BRA,DF,28-097,,14,"1,139",12.7,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.16,0.08,0.24,0.16,0.24,Matches,2025-2026,Real Madrid,16
Antonio Rüdiger,de GER,DF,33-053,,13,"1,220",13.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,2025-2026,Real Madrid,15
Trent Alexander-Arnold,eng ENG,DF,27-200,,11,906,10.1,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.4,0.4,0.0,0.4,Matches,2025-2026,Real Madrid,17
Brahim Díaz,ma MAR,"FW,MF",26-265,,9,958,10.6,0.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.47,0.47,0.0,0.47,Matches,2025-2026,Real Madrid,25
Franco Mastantuono,ar ARG,"MF,FW",18-254,,9,817,9.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.11,0.0,0.11,0.11,0.11,Matches,2025-2026,Real Madrid,18
Dani Carvajal,es ESP,DF,34-104,,8,777,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Madrid,14
Fran Garcia,es ESP,"DF,MF",26-254,,8,672,7.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.13,0.13,0.27,0.13,0.27,Matches,2025-2026,Real Madrid,10
Gonzalo García,es ESP,FW,22-032,,6,693,7.7,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.52,0.0,0.52,0.52,0.52,Matches,2025-2026,Real Madrid,25
Rodrygo,br BRA,"MF,FW",25-106,,6,684,7.6,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,0.13,0.39,0.53,0.13,0.53,Matches,2025-2026,Real Madrid,19
Andriy Lunin,ua UKR,GK,27-073,,5,450,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Madrid,5
Thiago Pinar,es ESP,MF,18-265,,5,360,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Madrid,6
Dani Ceballos,es ESP,MF,29-261,,4,469,5.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Madrid,15
David Alaba,at AUT,DF,33-305,,3,265,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Madrid,9
Ferland Mendy,fr FRA,DF,30-321,,2,194,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Madrid,4
Manuel Ángel,es ESP,MF,22-041,,1,96,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Madrid,4
Victor Valdepeñas,es ESP,DF,19-187,,1,77,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Madrid,1
David Jiménez,es ESP,DF,22-042,,1,76,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Madrid,2
César Palacios,es ESP,MF,21-165,,0,53,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Madrid,2
Daniel Yáñez,es ESP,MF,19-028,,0,33,0.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,2.73,0.0,2.73,Matches,2025-2026,Real Madrid,1
Diego Aguado,es ESP,DF,19-077,,0,30,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Madrid,1
Jorge Cestero,es ESP,MF,20-032,,0,13,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Madrid,2
Endrick,br BRA,FW,19-278,,0,12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Madrid,1
Lamini Fati,es ESP,DF,20-007,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Madrid,0
Jesus Fortea,es ESP,DF,19-030,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Madrid,0
Fran,es ESP,GK,20-305,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Madrid,0
Álvaro Leiva,es ESP,FW,23-127,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Madrid,0
Joan Lozano,es ESP,DF,18-248,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Madrid,0
Sergio Mestre,es ESP,GK,21-071,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Madrid,0
Javier Navarro,es ESP,GK,19-090,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Madrid,0
Álex Remiro,es ESP,GK,31-032,,32,"2,880",32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Sociedad,32
Jon Aramburu,ve VEN,DF,23-276,,27,"2,433",27.0,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,2025-2026,Real Sociedad,30
Mikel Oyarzabal,es ESP,FW,29-004,,26,"2,302",25.6,12.0,3.0,15.0,7.0,5.0,5.0,2.0,0.0,0.47,0.12,0.59,0.27,0.39,Matches,2025-2026,Real Sociedad,28
Sergio Gómez,es ESP,DF,25-233,,25,"2,241",24.9,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.08,0.08,0.0,0.08,Matches,2025-2026,Real Sociedad,29
Jon Gorrotxategi,es ESP,MF,24-082,,23,"1,995",22.2,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,0.05,0.14,0.18,0.05,0.18,Matches,2025-2026,Real Sociedad,26
Gonçalo Guedes,pt POR,MF,29-147,,22,"1,811",20.1,8.0,4.0,12.0,8.0,0.0,0.0,3.0,0.0,0.4,0.2,0.6,0.4,0.6,Matches,2025-2026,Real Sociedad,31
Igor Zubeldia,es ESP,DF,29-026,,21,"1,898",21.1,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,2025-2026,Real Sociedad,22
Carlos Soler,es ESP,MF,29-113,,21,"1,871",20.8,4.0,3.0,7.0,4.0,0.0,0.0,2.0,1.0,0.19,0.14,0.34,0.19,0.34,Matches,2025-2026,Real Sociedad,27
Jon Martin,es ESP,DF,20-002,,20,"1,800",20.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,2025-2026,Real Sociedad,20
Duje Ćaleta-Car,hr CRO,DF,29-220,,20,"1,790",19.9,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.05,0.0,0.05,0.05,0.05,Matches,2025-2026,Real Sociedad,23
Brais Méndez,es ESP,"MF,FW",29-108,,20,"1,604",17.8,6.0,2.0,8.0,5.0,1.0,2.0,4.0,1.0,0.34,0.11,0.45,0.28,0.39,Matches,2025-2026,Real Sociedad,28
Ander Barrenetxea,es ESP,"MF,FW",24-119,,18,"1,504",16.7,3.0,4.0,7.0,3.0,0.0,0.0,3.0,0.0,0.18,0.24,0.42,0.18,0.42,Matches,2025-2026,Real Sociedad,26
Takefusa Kubo,jp JPN,MF,24-325,,14,"1,306",14.5,2.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,0.14,0.28,0.41,0.14,0.41,Matches,2025-2026,Real Sociedad,20
Pablo Marín,es ESP,MF,22-296,,13,"1,203",13.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,2025-2026,Real Sociedad,28
Beñat Turrientes,es ESP,MF,24-084,,12,"1,030",11.4,0.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.26,0.26,0.0,0.26,Matches,2025-2026,Real Sociedad,22
Aihen Muñoz,es ESP,DF,28-252,,8,768,8.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Sociedad,18
Luka Sučić,hr CRO,"MF,FW",23-229,,8,727,8.1,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.37,0.12,0.5,0.37,0.5,Matches,2025-2026,Real Sociedad,16
Aritz Elustondo,es ESP,DF,32-028,,6,547,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Sociedad,13
Orri Steinn Óskarsson,is ISL,FW,21-239,,4,480,5.3,5.0,0.0,5.0,5.0,0.0,0.0,3.0,0.0,0.94,0.0,0.94,0.94,0.94,Matches,2025-2026,Real Sociedad,15
Yangel Herrera,ve VEN,MF,28-101,,4,304,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Sociedad,8
Arsen Zakharyan,ru RUS,MF,22-334,,2,402,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Sociedad,16
Álvaro Odriozola,es ESP,DF,30-132,,2,201,2.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.45,0.0,0.45,0.45,0.45,Matches,2025-2026,Real Sociedad,5
Umar Sadiq,ng NGA,FW,29-082,,2,153,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Sociedad,5
Wesley,br BRA,MF,21-051,,1,79,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Sociedad,4
Mikel Goti,es ESP,MF,23-337,,1,76,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Sociedad,4
Jon Karrikaburu,es ESP,FW,23-218,,0,135,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Sociedad,7
Job Ochieng',ke KEN,FW,23-098,,0,26,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Sociedad,1
Daniel Díaz,es ESP,FW,19-307,,0,18,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Sociedad,1
Gorka Carrera,es ESP,FW,20-345,,0,14,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Sociedad,1
Urko González,es ESP,"DF,MF",25-036,,0,11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Sociedad,1
Ibai Aguirre,es ESP,MF,19-105,,0,6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Sociedad,1
Luken Beitia,es ESP,DF,21-299,,0,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Sociedad,1
Lander Astiazaran,es ESP,MF,20-018,,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Sociedad,1
Arkaitz Mariezkurrena,es ESP,FW,21-020,,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Real Sociedad,1
Tomás Carbonell,es ESP,MF,21-061,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Sociedad,0
Kevin Folgado,fr FRA,GK,21-088,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Sociedad,0
Aitor Fraga,es ESP,GK,23-044,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Sociedad,0
Kazunari Kita,jp JPN,DF,20-221,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Sociedad,0
Alex Lebarbier,fr FRA,MF,21-245,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Sociedad,0
Alex Marchal,es ESP,MF,18-220,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Sociedad,0
Unai Marrero,es ESP,GK,24-198,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Sociedad,0
Jon Pacheco,es ESP,DF,25-107,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Sociedad,0
Hamari Traoré,ml MLI,DF,34-088,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Real Sociedad,0
Odysseas Vlachodimos,gr GRE,GK,31-364,28.0,28,"2,520",28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Sevilla FC,28
Lucien Agoume,fr FRA,MF,24-075,28.0,26,"2,237",24.9,1.0,2.0,3.0,1.0,0.0,0.0,11.0,0.0,0.04,0.08,0.12,0.04,0.12,Matches,2025-2026,Sevilla FC,28
Nemanja Gudelj,rs SRB,"DF,MF",34-160,28.0,23,"2,110",23.4,2.0,0.0,2.0,2.0,0.0,0.0,8.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,2025-2026,Sevilla FC,28
Carmona,es ESP,"DF,MF",24-086,29.0,23,"2,073",23.0,1.0,3.0,4.0,1.0,0.0,0.0,10.0,0.0,0.04,0.13,0.17,0.04,0.17,Matches,2025-2026,Sevilla FC,29
Juanlu Sánchez,es ESP,"MF,DF",22-253,27.0,23,"1,887",21.0,0.0,3.0,3.0,0.0,0.0,0.0,5.0,1.0,0.0,0.14,0.14,0.0,0.14,Matches,2025-2026,Sevilla FC,27
Djibril Sow,ch SUI,MF,29-078,28.0,23,"1,819",20.2,5.0,1.0,6.0,5.0,0.0,0.0,4.0,0.0,0.25,0.05,0.3,0.25,0.3,Matches,2025-2026,Sevilla FC,28
Akor Adams,ng NGA,FW,26-086,27.0,19,"1,842",20.5,8.0,3.0,11.0,5.0,3.0,3.0,2.0,0.0,0.39,0.15,0.54,0.24,0.39,Matches,2025-2026,Sevilla FC,27
Batista Mendy,fr FRA,MF,26-103,25.0,19,"1,588",17.6,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,2025-2026,Sevilla FC,25
Gabriel Suazo,cl CHI,"DF,MF",28-259,23.0,19,"1,583",17.6,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches,2025-2026,Sevilla FC,23
Kike Salas,es ESP,DF,24-002,20.0,18,"1,663",18.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,2025-2026,Sevilla FC,20
Ruben Vargas,ch SUI,"MF,FW",27-263,18.0,15,"1,225",13.6,3.0,5.0,8.0,2.0,1.0,1.0,1.0,0.0,0.22,0.37,0.59,0.15,0.51,Matches,2025-2026,Sevilla FC,18
